N°,Funcionalidad / Proceso,Detalle,Fuente interno/DM,Invalidante Si/No,Cat. Error,Severidad,Requiere desarrollo,Respaldo en IC,Observación IC (Intención de Compra),Evidencia (imagen),Log de error,Fecha revisión,hh PO,hh Analista,hh Arquitecto,hh Desarrollador,hh UX/UI,hh QA,hh Total,Tiempo de desarollo,Justificación,Módulos afectados,Justificación,Riesgo de regresión,Justificación,Complejidad técnica de integración,Justificación,Complejidad de gestión externa,Justificación,Complejidad técnica del desarrollo,Justificación,Puntaje total,Asignación propuesta,Prioridad piloto Odoo,Justificación priorización,Tipo de desarollo,Mejora propuesta
1,Solicitud de Pedido (Borrador),"Campo formulario ""Rubro del bien/servicio"" necesitan estar precargados?",Interno,No,Elementos faltantes,Menor,A evaluar,,,,,04/06,8,16,16,40,8,8,96,3,Total ~132 hh: rango 120-320 hh. Modelo jerárquico nuevo + importación + mantenedor + UI con widget custom.,3,"Adquisiciones, Inventario, Contabilidad (modelo de producto compartido).",3,Cambio al modelo de datos compartido entre módulos.,1,API pública de Mercado Público (si está disponible); cliente HTTP simple.,2,Requiere acuerdo o coordinación formal con ChileCompra.,4,Diseño arquitectónico nuevo (modelo jerárquico auto-referencial + mantenedor).,16,Licitación,P3 · Postergar a nuevo stack,"El catálogo de productos exige decisión arquitectónica (modelo jerárquico) que en Odoo arrastra deuda técnica entre módulos. Resolverlo bien en el nuevo stack es más eficiente que parchar Odoo. Para el piloto, el actual campo libre es viable con un catálogo municipal mínimo cargado manualmente. Campo descripción de producto podría tener un renombrado tras asignar ID de Mercado Público con valor desde esa plataforma.","Cambio estructural al modelo `AdquisicionesRubroBien`. El modelo actual solo tiene los campos name, description y order; debe evolucionar a un modelo tipo árbol auto-referencial usando `_parent_store` de Odoo (campo parent_id), o crearse un modelo relacionado nuevo para las jerarquías. Carga inicial desde catálogo ChileCompra (sujeto a disponibilidad de API). Mantenedor municipal para casos no contemplados.","Catálogo de productos jerárquico (Giros / Rubros / Familias / Productos) precargado desde el catálogo oficial de ChileCompra. Campos mínimos del Producto: Código, Familia, Descripción, Unidad de Medida, Cuenta Contable, marcador Stock/Específico, Impuestos Adicionales. Selector con autocompletado y navegación por path. Mantenedor municipal para compras menores a 3 UTM no contempladas en el catálogo central."
2,Solicitud de Pedido (Borrador),"UI de pestaña de ""Detalle de bienes y/o servicios"" necesita acomodar el ancho de las columnas",Interno,No,Visibilidad,Menor,A evaluar,,,,,04/06,1,1,0,8,2,2,14,1,Total ~14 hh: rango <16 hh. Ajuste de vista XML; si Odoo no responde puede requerir componente custom.,1,Solo vista de Adquisiciones.,1,Solo cambio de vista XML.,0,Sin integración.,0,Sin gestión externa.,2,Desarrollo XML/vista; eventualmente componente custom si auto-fit de Odoo no responde.,5,Interno,P2 · UX deseable,"Problema de usabilidad confirmado empíricamente (Cursor no logró ajuste estándar), pero no bloqueante para piloto. Si el ajuste simple no funciona, evaluar si compensa componente custom o postergar al nuevo stack.","Ajuste de vista XML en el modelo de líneas de SOLPED (tree/list view); modificar atributos de columna y eventualmente CSS adicional. Si Odoo no responde al ajuste estándar (confirmado empíricamente), evaluar componente OWL custom como alternativa.","Redefinir los anchos de columna según el tipo de dato: columnas estrechas para cantidades, código y subtotal; columnas amplias para descripción del producto. Habilitar scroll horizontal cuando el contenido excede el ancho disponible. Idealmente, permitir al usuario ajustar y guardar preferencias de columna."
3,Solicitud de Pedido (Borrador),"""Documentos adjuntos"" a qué corresponde? cotizaciones? Debería ser obligatorio?",Interno,No,Retroalimentación,Moderado,A evaluar,,,,,,2,2,0,4,2,2,12,1,Total ~12 hh: rango <16 hh. Tooltip + obligatoriedad condicional.,1,Solo Adquisiciones.,2,Lógica acotada (reglas de obligatoriedad).,0,Sin integración.,0,Sin gestión externa.,2,Desarrollo XML/vista + reglas simples.,6,Interno,P2 · UX deseable,Mejora de usabilidad y trazabilidad documental. No bloquea piloto pero su ausencia genera SOLPED sin respaldo obligatorio cuando debería tenerlo (art. 10 Reglamento Ley 19.886).,"Modificación de vista XML para agregar texto de ayuda (tooltip / help text) en el widget de adjuntos. Reglas de obligatoriedad condicional según tipo de compra o monto, implementadas como atributos `required` dinámicos en la vista o validaciones `@api.constrains` en el modelo.","Especificar en la UI qué tipos de documento se esperan (cotizaciones, fichas técnicas, autorizaciones previas, certificados de disponibilidad). Definir obligatoriedad según modalidad de compra siguiendo el Reglamento de la Ley 19.886 (ejemplo: mínimo 3 cotizaciones para Trato Directo según art. 10)."
4,General,A nivel municipal hay un itemizado de productos disponibles por ejemplo en bodega? Quizás una unidad requiriente primero debe verificar existencias locales de un producto antes de SOLPED,Interno,,,Crítico,,Sí,"Anexo N°12 - tarea 19.2.2.
""Los funcionarios de abastecimiento y suministros realizan una solicitud de reposición para verificar que las mercancías están en el nivel de reposición o se han terminado."" No existe esta verificación en el flujo actual.",,,,4,4,0,0,0,0,8,1,"Total ~8 hh: definición funcional pendiente; no es desarrollo, es decisión de alcance.",1,"Pregunta sobre Inventario, sin desarrollo aún.",1,Sin desarrollo pendiente.,0,Sin integración.,0,Sin gestión externa.,1,Requiere levantamiento con DM y municipios antes de definir desarrollo.,4,Por evaluar,P2 · UX deseable,"Pregunta exploratoria, no es bug. Probablemente parte del lote del catálogo de productos (ítem 1). Requiere levantamiento previo con DM y municipios sobre uso real de Inventario.",Levantamiento funcional previo al desarrollo: validar con DM y municipios si el flujo de SOLPED debe consultar primero la existencia en Bodega (módulo Inventario) antes de generar la solicitud externa. Eventualmente se traduce en cambio de modelo (relación SOLPED ↔ Inventario) y de flujo (paso previo de verificación).,"Antes de procesar una SOLPED, el sistema debe verificar si el producto solicitado existe en Inventario municipal. Si existe stock disponible, ofrecer al solicitante la opción de retirar de Bodega en lugar de iniciar una compra externa. Si el ítem no es de stock o no hay disponibilidad, continuar con el flujo normal."
5,Solicitud de Pedido (Enviado a revisión),"Pestaña ""Seguimiento de firmas"" tiene un checkbox con usuarios. Dónde se verifica esto? son firmas electrónicas o manuales? de qué documento? O corresponde a las firmas que deben exigirse más adelante?",Interno,No,Retroalimentación,Crítico,A evaluar,,,,,,4,6,2,16,8,6,42,3,Total ~42 hh: rango 40-120 hh. Rediseño pestaña + estados de firma.,1,Solo Adquisiciones; la integración FirmaGob misma vive en ítem 7.,3,Cambio en motor de seguimiento de firmas.,0,La integración misma vive en el ítem 7.,0,Sin gestión externa propia.,3,Desarrollo Python estándar (modelo de firma + vista timeline).,10,Licitación,P1 · Control interno crítico,"Conectado al ítem 7 (FirmaGob). Sin claridad sobre tipo de firma esperada, las auditorías no pueden verificar el circuito de aprobación. Lote junto con ítem 7.","Rediseño de la pestaña de seguimiento de firmas: distinguir explícitamente firmas electrónicas (con integración a FirmaGob, ver ítem #7) de visados internos. Modelo de seguimiento con estados por interviniente, fecha de firma, documento de respaldo. Vista tipo timeline con indicadores claros de estado.","Pestaña que muestre, por cada interviniente del proceso: tipo de firma esperada (electrónica avanzada / electrónica simple / visado manual), estado actual (pendiente / firmada / rechazada), fecha y hora de cada firma, y documento de respaldo cuando corresponda. Indicador visual de avance del circuito de firma."
6,Solicitud de Pedido (Enviado a revisión),"No están claramente identificados los intervinientes, ni cómo asignarlos. Podría ser campo Responsable pero no tiene filtros por unidad, se podría asignar cualquier persona dentro del sistema",Interno,No,Retroalimentación,Moderado,A evaluar,,,,,,2,4,2,12,4,4,28,2,Total ~28 hh: rango 16-40 hh. Filtro + eventual modelo usuario-unidad si no existe.,2,Adquisiciones + módulo Usuarios/RRHH.,3,Posible cambio al modelo usuario-unidad si no existe.,0,Sin integración.,0,Sin gestión externa.,3,Desarrollo Python estándar; eventualmente modelo nuevo.,10,Por evaluar,P2 · UX deseable,Depende de si el modelo usuario-unidad ya existe en SGM. Si existe: P2/Interno. Si debe construirse: sube a P3 porque es decisión arquitectónica que afecta múltiples módulos.,"Agregar dominio (filtro) al campo many2one de Responsable / Intervinientes para restringir la selección a usuarios de la unidad/departamento del solicitante. Si la relación usuario-unidad no existe formalmente en el modelo, modelarla (extender res.users o hr.employee con campo unidad_id).","Restringir la selección de intervinientes (Responsable, Aprobador, Validador) a usuarios pertenecientes a la unidad solicitante o a unidades válidas según el tipo de proceso. Mostrar junto al nombre el rol o cargo del usuario al momento de seleccionarlo. Evitar la asignación a usuarios sin vínculo organizacional al proceso."
7,Solicitud de Pedido (Enviado a revisión),"Cada proceso se declara como ""Aprobado"" cuando permite imprimir un documento final. Sin embargo, no hay firmas electrónicas ni exige subir algún medio de verificación con las firmas manuales que cierre el proceso",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°13 - punto 1.4 letra a
""Las solicitudes de pedido deben ser aprobadas electrónicamente por las distintas unidades que lo aprueban"". Se puede ""aprobar"" sin ninguna verificación real.",,,,16,24,24,100,16,24,204,4,Total ~204 hh: rango 120-320 hh. Integración FirmaGob completa con cumplimiento normativo.,4,"Adquisiciones, Contabilidad, Tesorería, RRHH y todos los procesos con aprobación.",4,Motor de aprobaciones; cambio transversal al núcleo del flujo.,2,"API FirmaGob con autenticación compleja (PKCS7, certificados).",3,Cumplimiento normativo (Ley 19.799 firma electrónica avanzada).,4,Diseño arquitectónico nuevo (motor de firmas + auditoría + integración).,21,Licitación,P1 · Control interno crítico,"Sin firma electrónica real, las aprobaciones no son legalmente vinculantes. Exposición directa ante Contraloría. Como alternativa intermedia para piloto, exigir adjunto obligatorio de visación manual con auditoría usuario/fecha. La integración FirmaGob completa va al nuevo stack.","Integración con FirmaGob (firma electrónica avanzada del Estado): cliente HTTP custom, manejo de PKCS7, gestión de tokens, certificados. Conectar con el motor de estados de Odoo para que la transición a Aprobado requiera firmas válidas. Como alternativa intermedia para piloto: exigir adjunto obligatorio de documento de visación firmado manualmente con auditoría (usuario, fecha y hora del cambio de estado).","Integrar FirmaGob para firma electrónica avanzada de los documentos formales del proceso (SOLPED aprobada, Resolución de Compra, Recepción Conforme). Conforme a la Ley 19.799, las firmas deben tener trazabilidad, integridad y no repudio. Como medida transitoria mientras se desarrolla la integración: bloquear el cambio de estado a Aprobado a menos que se adjunte documento firmado manualmente, con registro auditable."
8,Disponibilidad presupuestaria,"Las validaciones solo exigen cuadrar el ""Monto"" contra la SOLPED, pero de dónde viene la disponibilidad presupuestaria?",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°12 -  tarea 23.2.3.
""Cualquier compra debe contar con disponibilidad presupuestaria y se debe generar un certificado de disponibilidad"". La validación presupuestaria no tiene origen claro y la alerta llega tarde.",,,,4,6,4,24,8,8,54,3,Total ~54 hh: rango 40-120 hh. Trazabilidad UI + lógica de validación.,2,Adquisiciones + Presupuestos.,4,Cambio en motor de validación bloqueante del flujo presupuestario.,0,Integración interna entre módulos SGM.,0,Sin gestión externa.,3,Desarrollo Python estándar (consulta + lógica de validación + vista).,12,Por evaluar,P1 · Control interno crítico,"Sin trazabilidad del cálculo de disponibilidad presupuestaria, no se puede auditar el control de gasto. Prerrequisito para que el piloto sea defendible ante Contraloría.","Mostrar trazabilidad del cálculo de disponibilidad presupuestaria: cuenta de imputación, saldo disponible al momento de la consulta, monto comprometido por otras SOLPED en curso, monto solicitado y saldo proyectado. Vista expandible o panel lateral con enlace al módulo de Presupuestos para auditar los movimientos.","Cuando se valida la disponibilidad presupuestaria, mostrar al usuario el detalle completo del cálculo: cuenta presupuestaria de imputación, saldo actual disponible, monto comprometido por otras SOLPED del mismo período, monto solicitado en esta operación y saldo proyectado tras la imputación. Validación bloqueante si el saldo proyectado es insuficiente, con opción de solicitar financiamiento a DAF."
9,Disponibilidad presupuestaria,"Un perfil con permisos de ""Administrador CDP"" en ajustes, necesario para generar CDP, también puede aprobar el proceso.",Interno,No,Flujo,Moderado,A evaluar,Sí,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: separación de permisos.,1,Solo módulo de permisos en Adquisiciones.,3,Cambio en sistema de permisos.,0,Sin integración.,0,Sin gestión externa.,2,Ajuste en record rules + grupos.,7,Interno,P1 · Control interno crítico,Conflicto de roles: quien genera el CDP no debería poder aprobarlo. Es un control interno básico que Contraloría exige (segregación de funciones).,Refactor del sistema de permisos (ir.model.access + record rules + grupos Odoo): separar el rol que genera el CDP del rol que lo aprueba. Esto puede requerir definir nuevos grupos y revisar la matriz transversal de roles del proyecto.,"Implementar segregación de funciones: el usuario que genera el Certificado de Disponibilidad Presupuestaria (CDP) no debe ser el mismo que lo aprueba. Crear roles separados ""Generador CDP"" y ""Aprobador CDP"" con grupos Odoo distintos y validación bloqueante en el cambio de estado."
10,Disponibilidad presupuestaria,"Se genera el error ""Operación no válida. No se pueden modificar los campos cuando el certificado no está en borrador."" pero no estoy modificando nada. El problema es es que quien estaba asignado a autorizar es otra persona, pero el error es incorrecto.",Interno,No,Flujo,Moderado,A evaluar,Sí,,,,,1,1,0,3,1,2,8,1,Total ~8 hh: mejorar mensaje de error y condiciones de bloqueo.,1,Solo Adquisiciones.,2,Lógica acotada (mensaje + condición de modificación).,0,Sin integración.,0,Sin gestión externa.,2,Ajuste de vista + mensaje + lógica de estado.,6,Interno,P2 · UX deseable,Mejora de retroalimentación al usuario. No bloquea el piloto.,"Mejorar el mensaje de error y revisar las condiciones de bloqueo del estado borrador: identificar qué campos están bloqueados y por qué, mostrar al usuario un mensaje específico en lugar de uno genérico.","Cuando el sistema bloquea la modificación de un certificado fuera del estado borrador, el mensaje debe explicar al usuario qué campo intentó modificar, por qué está bloqueado y qué debe hacer para destrabar (por ejemplo, retornar el documento al estado borrador con permisos adecuados)."
11,Preobligación,Se genera una preobligación sin contrastar saldos con presupuestos,Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°13 - punto 1.1 (Contabilidad) Requerimientos funcionales ítem 8
""No permitir obligaciones sin saldo de presupuesto"", ""Que además de generar un cuadro de notificación (Warning) cuando existan unas diferencias de saldo, que no permite avanzar.""",,,,4,4,2,8,2,4,24,2,Total ~24 hh: validación bloqueante de saldo.,2,Adquisiciones + Presupuestos.,4,Motor de validación presupuestaria; cambio en núcleo del flujo.,0,Integración interna.,0,Sin gestión externa.,3,Desarrollo Python estándar con validación bloqueante.,11,Interno,P0 · Crítico para piloto,"Generar una preobligación sin contrastar saldos es exactamente el tipo de falla que hace fracasar el piloto. Sin esto, el control presupuestario es ficción.","Agregar validación bloqueante al momento de generar una Preobligación: consultar el saldo disponible en el módulo de Presupuestos y comparar contra el monto a comprometer. Si excede el saldo, bloquear la generación con mensaje claro y registro auditable.","Antes de generar una Preobligación, el sistema debe consultar el saldo disponible de la cuenta presupuestaria asignada y validar que el monto a comprometer no lo exceda. Si excede, bloquear la operación, informar el monto disponible y el monto solicitado, y ofrecer canalizar una solicitud de financiamiento a DAF."
12,Modalidad de compra (Elaboración),"""Criterios y requisitos"" no varía según ""Tipo de Compra"". Validar con DM. Podría tener restricciones de diverso tipo, por ejemplo si excede de 1000 UTM solo permite Licitación",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°12 - tareas 21 a 24
Se distinguen 4 tipos de compra: Licitación, Trato Directo, Convenio Marco y Compra Agil. Cada una tiene validaciones y flujos distintos.",,,,4,8,2,12,4,6,36,2,Total ~36 hh: lógica condicional por tipo de compra.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,"Sin gestión externa, pero requiere validación con DM.",3,Desarrollo Python estándar con reglas condicionales por tipo.,8,Por evaluar,P2 · UX deseable,"Requiere primero validar con DM qué restricciones aplican por tipo. Mejora deseable, no bloquea piloto.","Implementar campos dinámicos en el formulario de Modalidad de Compra: el conjunto de criterios y requisitos a desplegar varía según el tipo de compra seleccionado (Compra Ágil, Convenio Marco, Licitación, Trato Directo). Reglas condicionales en la vista y validaciones por tipo. Requiere validación funcional previa con DM.","Los criterios y requisitos asociados a una compra deben variar según el tipo de compra elegido, respetando el Reglamento de la Ley 19.886. Por ejemplo: Licitación exige criterios técnicos y económicos ponderados; Trato Directo exige justificación legal y mínimo de cotizaciones; Compra Ágil tiene umbrales máximos. Para montos que superen un umbral por tipo, exigir validaciones adicionales (autorización Alcalde, decreto, etc.)."
13,Modalidad de compra (Elaboración),"""Criterios y requisitos"" no es obligatorio. No permite una estructura que refleje las complejidades de un Tipo de Compra",Interno,No,Elementos faltantes,Moderado,A evaluar,,,,,,1,2,0,4,1,2,10,1,Total ~10 hh: obligatoriedad condicional.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Cambio de vista + regla de obligatoriedad.,6,Interno,P2 · UX deseable,Conectado al ítem 12. Lote conjunto.,"Marcar el campo ""Criterios y requisitos"" como obligatorio según el tipo de compra. Agregar estructura mínima esperada (subcampos por criterio, ponderación si aplica). Implica cambios en vista y eventualmente en modelo si requiere subcampos relacionados.","Cuando el tipo de compra exige criterios formales (Licitación, Trato Directo), el campo Criterios y Requisitos debe ser obligatorio y permitir una estructura que refleje las complejidades del tipo: criterios técnicos, criterios económicos, ponderaciones, requisitos formales y de admisibilidad. Para tipos más simples (Compra Ágil), bastar con texto libre o estructura mínima."
14,Modalidad de compra (Revisión),"Aparece una pestaña ""Decreto"". Qué decreto? de autorización de compra, de publicación de compra? Quién lo aprueba?",Interno,No,Retroalimentación,Moderado,A evaluar,,,,,,1,2,0,2,2,1,8,1,Total ~8 hh: clarificación de pestaña.,1,Solo Adquisiciones.,1,Solo cambio de vista y etiquetas.,0,Sin integración.,0,Sin gestión externa.,2,Cambio XML + textos de ayuda.,5,Interno,P2 · UX deseable,Falta de contexto en UI. Mejora de retroalimentación.,"Cambio de vista XML para clarificar la pestaña Decreto: agregar texto de ayuda explicando a qué decreto se refiere, quién lo emite, quién lo aprueba. Eventualmente, modelado más explícito (campo Tipo de Decreto si hay varios).","Aclarar en la UI a qué tipo de decreto corresponde la pestaña Decreto (decreto de autorización de compra, decreto de adjudicación, decreto de publicación, etc.). Mostrar quién lo emite y quién lo aprueba. Si en el proceso hay más de un tipo de decreto, modelarlos explícitamente."
15,Modalidad de compra (Revisión),Se genera el error por Permisos de acceso cuando el rol del usuario autenticado no es el correcto. Debería desactivar el botón estos casos.,Interno,No,Flujo,Moderado,A evaluar,Sí,,,,,1,1,0,3,1,2,8,1,Total ~8 hh: desactivar botón según permisos.,1,Solo Adquisiciones.,2,Lógica de UI condicional por rol.,0,Sin integración.,0,Sin gestión externa.,2,Ajuste de vista + condicionales de permisos.,6,Interno,P2 · UX deseable,"UX defensiva, no bloquea piloto pero genera errores molestos al usuario.",Ajustar la vista para que los botones de acción se muestren desactivados (atributo `invisible` o `readonly` dinámico) cuando el usuario autenticado no tiene los permisos requeridos. Reemplaza el comportamiento actual de mostrar el botón habilitado y arrojar error al hacer clic.,"Cuando un usuario no tiene los permisos requeridos para una acción, el botón correspondiente debe aparecer desactivado o no visible (no debe arrojar error tras el clic). Tooltip explicativo opcional que indique al usuario por qué no puede ejecutar esa acción y a quién debe escalar."
16,Modalidad de compra,"Durante las distintas etapas puedo cambiar ""Tipo de Compra"", incluso en etapa ""Publicada""",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: bloquear cambios según estado.,1,Solo Adquisiciones.,3,Cambio en lógica de estados.,0,Sin integración.,0,Sin gestión externa.,2,Reglas de estado en modelo.,7,Interno,P1 · Control interno crítico,Cambiar Tipo de Compra en estado Publicada corrompe la trazabilidad del proceso. Falla de integridad de datos que afecta control interno.,Implementar reglas de estado en el modelo de Modalidad de Compra: el campo Tipo de Compra debe ser de solo lectura (readonly) una vez que el documento pasa al estado Publicada. Esto requiere ajustes en la vista (atributos readonly dinámicos) y eventualmente en el modelo (validación con @api.constrains).,"Una vez que la compra entra en estado Publicada (publicada en Mercado Público o estado equivalente), el Tipo de Compra debe quedar bloqueado y no editable. Cualquier cambio de tipo a esa altura corrompe la trazabilidad del proceso y debe requerir un proceso formal de anulación y reinicio."
17,Modalidad de compra (Publicada),"Para autorizar publicación se exige una ""Evidencia de Publicación"". Podría ser cualquier tipo de documento. Idealmente para publicaciones en Mercado Público podría ser alguna verificación con API.",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,4,2,2,12,1,Total ~12 hh: validación de tipo de evidencia.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración (la integración real con MP es separada).,0,Sin gestión externa propia.,2,Validación de tipo de archivo + obligatoriedad condicional.,6,Interno,P2 · UX deseable,"Conecta con la integración con Mercado Público (P3 nuevo stack). Mientras tanto, validar al menos tipo de archivo.","Validación de tipo de archivo y obligatoriedad de la Evidencia de Publicación. Idealmente, conectar con el ítem #9 DM (integración Mercado Público) para que el sistema obtenga la evidencia automáticamente desde el portal de MP en lugar de exigir carga manual.","La Evidencia de Publicación debe restringirse a tipos específicos (PDF preferentemente, captura de pantalla del portal MP). Idealmente, cuando se publica una compra en Mercado Público, el sistema debe generar automáticamente la evidencia (captura de la URL pública o PDF con timestamp) sin requerir carga manual del funcionario."
18,Comisión Evaluadora ,"La pestaña ""Comisión Evaluadora"" tiene tres submenús: ""Comisión Evaluadora"", ""Decreto Comisión"" y ""Validación y Decreto"". Al acceder a cada flujo, cada uno tiene el mismo tipo de interacción. Para qué sirve cada uno en específico?",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,4,0,6,4,2,18,1,Total ~18 hh: rediseño de navegación de pestañas.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Cambio XML + reorganización.,6,Interno,P2 · UX deseable,UX de la Comisión Evaluadora. Conectado al lote del ítem 20.,"Rediseño de la navegación de la pestaña Comisión Evaluadora: consolidar los tres submenús (Comisión Evaluadora, Decreto Comisión, Validación y Decreto) en un flujo lineal con secciones claras o usar pestañas anidadas con un orden visible. Cambio principalmente en vistas XML.","Reorganizar la pestaña Comisión Evaluadora para que el flujo sea lineal y autoexplicativo: conformación de la comisión → emisión del decreto → validación y firma del decreto. Cada paso debe quedar bloqueado hasta que el anterior esté completo, evitando que el usuario navegue entre submenús sin orden."
19,Comisión Evaluadora ,"En la pestaña de ""Miembros de la comisión"" se pueden agregar usuarios de la plataforma. Qué aporte tiene eso? de hecho, agregué un usuario al que tengo perfil de acceso. A este no le aparece siquiera una notificación al respecto.",Interno,No,Flujo,Crítico,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: validar reglas de composición de comisión.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Reglas de validación.,6,Interno,P1 · Control interno crítico,Composición de Comisión Evaluadora es regulada por ley. Permitir cualquier usuario expone al municipio a observaciones formales.,"Validaciones de composición de la Comisión Evaluadora: número mínimo de miembros, perfiles requeridos (al menos uno técnico, al menos uno administrativo, etc.) según el Reglamento. Reglas implementadas como @api.constrains en el modelo de Comisión.","Validar que los miembros de la Comisión Evaluadora cumplan los requisitos del Reglamento de la Ley 19.886: número mínimo de integrantes según monto de la licitación, ausencia de conflictos de interés (declaración formal), composición plural. Bloquear el avance del proceso si la comisión no cumple los requisitos."
20,Comisión Evaluadora ,"Según documento de Intención de compra, en el punto 20. Adquisiciones: Comisión Evaluadora, se solicitaba subir decreto a Mercado Púlbico y Plataforma de Ley del Lobby. SGM no da cuenta de si tales acciones fueron realizadas.",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°13 - punto 1.4 letra c
""El sistema debe contemplar la circulación digital de documentos al interior de la organización, y las visaciones electrónicas y la vinculación con la información de Mercado Público."". Se aprueba sin firma ni documento. Exigible",,,,8,16,8,40,12,12,96,3,"Total ~96 hh: implementación completa del flujo de Comisión Evaluadora según IC (subir decreto a MP, firmas Lobby).",2,Adquisiciones + módulo de firmas/Lobby si aplica.,3,Cambio en flujo de estados de la Comisión.,1,Conexión con Mercado Público (subir decreto).,1,Conexión con Lobby (registro de personas).,3,Desarrollo Python estándar; coordinación con integraciones externas.,13,Licitación,P1 · Control interno crítico,"Funcionalidad clave de Licitación según IC, hoy incompleta. Lote con ítems 18-19. Conectado al lote MP (P3) pero la lógica interna puede empezar antes.","Implementar el flujo completo de Comisión Evaluadora según especifica el punto 20 del Anexo N°12 de la IC: cargar decreto de comisión a Mercado Público (requiere integración MP, ver ítem #9 DM), firma de comisionados con Lobby (registro de personas que asisten a sesiones), trazabilidad del proceso. Requiere desarrollo nuevo del flujo y eventual integración con servicios externos.",Cumplir el flujo de Comisión Evaluadora conforme a la Intención de Compra: conformación → decreto → publicación del decreto en MP → sesión de evaluación con registro Lobby → acta de evaluación → propuesta de adjudicación. Cada paso queda registrado en SGM y los actos formales son publicados en MP automáticamente.
