N°,Funcionalidad / Proceso,Detalle,Fuente interno/DM,Invalidante Si/No,Cat. Error,Severidad,Requiere desarrollo,Respaldo en IC,Observación IC (Intención de Compra),Evidencia (imagen),Log de error,Fecha revisión,hh PO,hh Analista,hh Arquitecto,hh Desarrollador,hh UX/UI,hh QA,hh Total,Tiempo de desarollo,Justificación,Módulos afectados,Justificación,Riesgo de regresión,Justificación,Complejidad técnica de integración,Justificación,Complejidad de gestión externa,Justificación,Complejidad técnica del desarrollo,Justificación,Puntaje total,Asignación propuesta,Prioridad piloto Odoo,Justificación priorización,Tipo de desarollo,Mejora propuesta
21,Resolución de Compra (Borrador),"Al seleccionar IVA 19% Compra (IVA Incluido) o IVA 19% Compra, el cálculo de impuestos es el mismo.",Interno,No,Flujo,Moderado,A evaluar,,,,,,1,1,0,2,0,2,6,1,Total ~6 hh: corregir cálculo de impuestos.,1,Solo Adquisiciones.,2,Lógica acotada pero afecta cálculos contables.,0,Sin integración.,0,Sin gestión externa.,2,Corrección de fórmula de cálculo.,6,Interno,P0 · Crítico para piloto,Bug de cálculo de impuestos. Genera datos contables incorrectos. Bloqueante para uso responsable.,Revisar y corregir el cálculo de impuestos para los códigos IVA 19% Compra (IVA Incluido) e IVA 19% Compra. El primer caso debe descontar el IVA del precio bruto; el segundo debe sumarlo al precio neto. Cambio acotado en la lógica de cálculo del modelo.,"Corregir el cálculo de impuestos para que IVA 19% Compra (IVA Incluido) descomponga el precio bruto (precio neto = precio bruto / 1.19), y IVA 19% Compra agregue el impuesto al precio neto (precio bruto = precio neto * 1.19). Validar que las facturas y comprobantes reflejen los valores correctamente."
22,Resolución de Compra (Borrador),"El campo ""Número de Orden de Compra"" se ingresa manualmente. Debería haber alguna automatización de números correlativos por ejemplo?",Interno,No,Flujo,Moderado,A evaluar,,,,,,1,1,0,4,1,2,9,1,Total ~9 hh: secuencia automática.,1,Solo Adquisiciones.,2,Lógica acotada (secuencia Odoo nativa).,0,Sin integración.,0,Sin gestión externa.,1,Configuración de secuencia Odoo.,5,Interno,P2 · UX deseable,Evita errores de data entry. Mejora de calidad de datos.,"Configurar una secuencia Odoo (ir.sequence) para el número de Orden de Compra con formato municipal estándar. Asignación automática al crear la OC, con la opción de visualizarla pero no editarla.","El número de Orden de Compra debe generarse automáticamente con una secuencia correlativa anual (formato sugerido: OC-AAAA-NNNNN). El campo debe ser de solo lectura para el usuario, salvo en casos específicos autorizados (por ejemplo, ajuste manual por administrador con auditoría)."
23,Resolución de Compra (Borrador),"Dentro de las pestañas del formulario existe ""Argumentación"" y ""Descripción"". Qué función cumple cada uno? Ambos campos son obligatorios",Interno,No,Retroalimentación,Moderado,A evaluar,,,,,,2,2,0,3,2,1,10,1,Total ~10 hh: clarificar campos.,1,Solo Adquisiciones.,1,Solo cambio de vista.,0,Sin integración.,0,Sin gestión externa.,2,Cambio XML + decisión funcional.,5,Interno,P2 · UX deseable,Redundancia de campos. Decisión funcional simple.,"Decisión funcional: consolidar los campos Argumentación y Descripción si son redundantes, o diferenciarlos con propósito claro. Si se mantienen separados, ajustar las etiquetas, los textos de ayuda y las reglas de obligatoriedad para que el usuario entienda qué información va en cada uno.","Si Argumentación y Descripción cumplen funciones distintas, especificarlas claramente: por ejemplo, Argumentación = justificación legal/técnica de la compra (qué necesidad atiende, por qué este proveedor); Descripción = detalle de los bienes/servicios solicitados. Si son redundantes, eliminar uno de los dos."
24,Resolución de Compra (Borrador),Indiqué que el Monto Total Adjudicado es menor al monto indicado en la SOLPED (puede darse en cualquier licitación) y el sistema me muestra una alerta que los valores deben ser concordantes,Interno,Sí,Retroalimentación,Crítico,A evaluar,,,,,,2,2,0,4,2,2,12,1,Total ~12 hh: validación de monto adjudicado.,1,Solo Adquisiciones.,3,Cambio en motor de validación.,0,Sin integración.,0,Sin gestión externa.,2,Lógica de validación + mensaje.,7,Interno,P0 · Crítico para piloto,Invalidante. Permite seguir un proceso con dato incoherente que afecta el cálculo presupuestario.,"Validación bloqueante con mensaje claro al usuario cuando el Monto Total Adjudicado es menor que el monto de la SOLPED. Permitir que el usuario justifique formalmente la diferencia (por ejemplo, mejora de oferta) sin que el sistema interprete el monto menor como un error opaco.","Cuando el Monto Adjudicado es menor al monto solicitado en la SOLPED, el sistema debe permitir avanzar pero exigir una justificación formal del ahorro (mejora de oferta del proveedor, ajuste técnico, etc.) y registrarla en el documento. El mensaje al usuario debe ser claro y no inducir a creer que hay un error."
25,Resolución de Compra (Aprobado),"Se puede ""Aprobar"" la resolución sin ningún documento adjunto.",Interno,No,Flujo,Crítico,A evaluar,Sí,"Anexo N°13 - punto 1.4 letra c
""El sistema debe contemplar la circulación digital de documentos al interior de la organización, y las visaciones electrónicas"". Se aprueba sin firma ni documento. Exigible",,,,2,2,0,4,1,2,11,1,Total ~11 hh: obligatoriedad de adjuntos para aprobar.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Validación bloqueante.,6,Interno,P1 · Control interno crítico,"Sin documentos de respaldo, la Resolución de Compra carece de evidencia. Riesgo de control interno.","Validación bloqueante en el cambio de estado a Aprobado: exigir al menos un documento adjunto de respaldo (resolución firmada, decreto, etc.) antes de permitir la transición. Implementado como @api.constrains o regla de estado.","Para aprobar una Resolución de Compra, el sistema debe exigir al menos un documento adjunto de respaldo (resolución administrativa firmada, decreto). Sin documento, el botón de Aprobar queda deshabilitado o arroja un mensaje claro. La regla aplica también a otras instancias formales del flujo."
26,Resolución de Compra (Aprobado),"Se puede ""Recepcionar"" múltiples veces la Resolución de Compra generando nuevas instancias de Recepción Conforme cada vez, aunque se generan solo como borrador",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: validación de unicidad de Recepción.,1,Solo Adquisiciones.,3,Cambio en motor de estados.,0,Sin integración.,0,Sin gestión externa.,2,Validación bloqueante + lógica de estado.,7,Interno,P0 · Crítico para piloto,Generar múltiples Recepciones para la misma Resolución corrompe la trazabilidad y puede generar pagos duplicados. Bloqueante para piloto.,"Validación de unicidad en el modelo de Recepción Conforme: una Resolución de Compra solo puede tener una Recepción Conforme activa. Si se requiere recepción parcial, modelarla explícitamente con campos de cantidad recibida acumulada. Cambios en modelo y motor de estados.","Una Resolución de Compra debe poder generar una sola Recepción Conforme activa. Si la compra admite recepciones parciales (por entregas), modelar la cantidad acumulada y el saldo pendiente, con una sola instancia de Recepción que se va actualizando. Bloquear la creación de nuevas Recepciones cuando ya existe una activa."
27,Resolución de Compra (Aprobado),"Desde la interfaz de ""Aprobado"" se puede acceder a ver la ""Obligación Presupuestaria"" que en este ejemplo ha excedido el saldo disponible. Esta advertencia debió haberse generado al inicio del proceso, durante la SOLPED y Disponibilidad Presupuestaria",Interno,Sí,Flujo,Crítico,A evaluar,,,,,,2,4,2,8,2,4,22,2,Total ~22 hh: validación bloqueante de saldo presupuestario.,2,Adquisiciones + Presupuestos.,4,Motor de validación bloqueante del flujo.,0,Integración interna.,0,Sin gestión externa.,3,Validación bloqueante + comunicación entre módulos.,11,Interno,P0 · Crítico para piloto,Invalidante. Permite Obligación que excede saldo disponible — exactamente el control que debería bloquear el flujo. Bloqueante para piloto.,"Validación bloqueante en la confirmación de la Resolución de Compra: comparar el monto contra el saldo disponible de la cuenta presupuestaria asignada. Si excede, bloquear la generación de la Obligación con mensaje claro. Conecta con el módulo de Presupuestos.","Antes de confirmar una Resolución de Compra y generar la Obligación Presupuestaria, validar que el saldo de la cuenta asignada cubre el monto. Si excede, bloquear la operación con un mensaje que indique saldo disponible, saldo requerido y la opción de canalizar solicitud de ampliación presupuestaria. No permitir el ajuste informal."
28,Resolución de Compra (Aprobado),Por razones desconocidas se generaron dos Resoluciones de Compra para la misma SOLPED. Aunque pudo deberse al cambio de Tipo de Compra.,Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: validación de unicidad o investigación de causa.,1,Solo Adquisiciones.,3,Cambio en motor de estados.,0,Sin integración.,0,Sin gestión externa.,2,Investigación + validación de unicidad.,7,Interno,P1 · Control interno crítico,Genera Resoluciones duplicadas. Afecta trazabilidad contable.,"Investigar la causa raíz de la generación duplicada de Resoluciones de Compra (probablemente vinculada al cambio de Tipo de Compra, ítem #16). Una vez identificada, agregar validación de unicidad o regla que prevenga la duplicación.","Una SOLPED debe poder generar una única Resolución de Compra activa. Si el flujo permite cambios de tipo o reinicios, debe anularse formalmente la Resolución previa antes de crear una nueva, con trazabilidad del cambio (causa, usuario, fecha). No deben coexistir dos Resoluciones activas para la misma SOLPED."
29,Resolución de Compra (Aprobado),"Al seleccionar ""Marcar para recompra"" no se puede deshacer",Interno,No,Flujo,Moderado,A evaluar,,,,,,1,1,0,3,1,2,8,1,Total ~8 hh: agregar acción de deshacer o confirmar.,1,Solo Adquisiciones.,2,Lógica de estado.,0,Sin integración.,0,Sin gestión externa.,2,Lógica de estado reversible + confirmación.,6,Interno,P2 · UX deseable,UX defensiva. Acción irreversible sin advertencia.,"Agregar acción inversa para Marcar para recompra (Desmarcar) o, alternativamente, mostrar un modal de confirmación previa que advierta sobre la irreversibilidad de la acción. Cambio acotado en vista y lógica de estado.","La acción Marcar para recompra debe ser reversible mediante un Desmarcar o, en su defecto, requerir confirmación explícita del usuario antes de ejecutarse (modal con mensaje de advertencia). Idealmente, registrar la acción y permitir revertirla con justificación durante un período definido."
30,Resolución de Compra (Aprobado),"Al seleccionar ""Generar PDF"" se genera un error",Interno,Sí,Flujo,Crítico,A evaluar,,,,,,1,1,0,4,0,2,8,1,Total ~8 hh: debug y arreglo de generación PDF.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Debug template QWeb.,6,Interno,P0 · Crítico para piloto,Invalidante. La generación del PDF de Resolución de Compra es output formal del proceso. Bloqueante para piloto.,Debug y corrección del template QWeb / generador PDF para Resolución de Compra. Probablemente vinculado a campos faltantes o errores de formato en la plantilla. Acotado.,"Corregir la generación del PDF de Resolución de Compra para que produzca el documento sin error. Validar que el documento contenga toda la información requerida formalmente: encabezado municipal, número de resolución, fecha, partes intervinientes, objeto, monto, firmas, anexos."
31,Resolución de Compra (Aprobado),"Se puede ""Crear Egreso Devengado"" solo con la Resolución de Compra, pero según la norma, el devengado solo se puede generar cuando se ha recibido el producto o servicio. (Verificar orden según DAF)",Interno,Sí,Flujo,N/A,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: validación normativa devengado.,2,Adquisiciones + Contabilidad.,4,Motor de validación normativa.,0,Integración interna.,0,Sin gestión externa.,2,Validación bloqueante de Recepción Conforme.,9,Interno,P0 · Crítico para piloto,Invalidante. El devengado sin recepción conforme + factura viola la normativa contable del sector público. Riesgo de sumario administrativo si Contraloría audita.,Validación bloqueante en la transición a Egreso Devengado: exigir match de 3 vías (Orden de Compra + Recepción Conforme + Factura registrada SII) antes de permitir el devengado. Conecta con el módulo de Contabilidad.,"El devengado de un gasto solo puede generarse cuando se cumple el match de 3 vías conforme a la normativa contable del sector público: Orden de Compra emitida, Recepción Conforme aprobada y Factura registrada en SII. Si falta cualquiera, bloquear la operación con mensaje claro."
32,Recepción de Compra (Borrador),Permite avanzar hasta aprobado sin adjuntar documentos como facturas u orden de despacho ni tampoco N° de orden de ingreso. Puede quedar aprobada sin ninguna validación,Interno,No,Flujo,Crítico,A evaluar,,,,,,2,2,0,4,1,2,11,1,Total ~11 hh: obligatoriedad de adjuntos.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Validación de obligatoriedad.,6,Interno,P1 · Control interno crítico,"Recepción Conforme sin documentos (factura, guía despacho) carece de evidencia. Riesgo de control interno.","Validación bloqueante en el cambio de estado a Aprobado de la Recepción Conforme: exigir al menos un documento adjunto (factura, guía de despacho, orden de ingreso) y N° de orden de ingreso completado.","Para aprobar una Recepción Conforme, el sistema debe exigir al menos factura electrónica y guía de despacho adjuntas, más el N° de orden de ingreso registrado. Sin estos elementos, la Recepción no puede aprobarse, conforme a la normativa de control interno."
33,Recepción de Compra (Aprobado),"Aun en estado aprobado, puedo seguir cambiando datos y guardando el proceso",Interno,No,Flujo,Crítico,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: read-only en estado aprobado.,1,Solo Adquisiciones.,3,Cambio en lógica de estados.,0,Sin integración.,0,Sin gestión externa.,2,Reglas de readonly por estado.,7,Interno,P0 · Crítico para piloto,Modificar datos de un proceso aprobado destruye la inmutabilidad de los actos administrativos. Bloqueante para piloto y exposición ante Contraloría.,"Implementar reglas de readonly por estado en el modelo de Recepción Conforme: una vez Aprobada, todos los campos críticos deben quedar bloqueados. Cambios solo permitidos por administrador con justificación auditada, o mediante un proceso formal de anulación y reapertura.","Una vez aprobada una Recepción Conforme, sus datos deben quedar inmutables (read-only para todos los usuarios). Modificaciones posteriores solo deben permitirse mediante un proceso formal de anulación que registre causa, usuario y fecha, y genere una nueva instancia con trazabilidad respecto a la anterior."
34,Recepción de Compra (Aprobado),"En la pestaña Validación aparece la opción de agregar usuarios y un checklist de opciones de validación que indica: Presupuesto, Jefe de Compras, Control Interno. Si se seleccionan o no es irrelavante para el proceso.",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,4,0,8,4,4,22,2,Total ~22 hh: rediseño de pestaña Validación.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Rediseño de pestaña + lógica de checklist.,7,Interno,P2 · UX deseable,"Pestaña Validación poco clara. UX deseable, no bloquea piloto.","Rediseño de la pestaña Validación: definir el propósito del checklist (¿son aprobaciones de distintos roles? ¿requisitos previos?), simplificar la UI, especificar qué pasa cuando un ítem del checklist falla. Cambios en vista y eventualmente en modelo de validación.","Clarificar la pestaña Validación: cada elemento del checklist debe corresponder a una validación específica (Presupuesto OK / Jefe de Compras aprueba / Documentación completa / etc.) con responsable asignado y estado. Si un ítem falla, debe bloquear el avance del proceso y registrarse la causa."
35,"Integración con módulo de ""Inventario""","Si no se indicó oportunamente durante la SOLPED que determinado artículo es ""Activo fijo"", no puede actualizarse. Luego para generar inventario habrá que ingresar productos manualmente.",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,2,0,6,1,3,14,1,Total ~14 hh: permitir edición de Activo Fijo en estados intermedios.,2,Adquisiciones + Inventario.,3,Cambio en lógica de estados entre módulos.,0,Integración interna.,0,Sin gestión externa.,2,Reglas de edición por estado.,8,Interno,P2 · UX deseable,UX rígida. Mejora deseable.,"Permitir editar el marcador Activo Fijo de un producto en estados intermedios del flujo (antes de la Recepción Conforme), con validación de consistencia. Cambio en reglas de estado del modelo de líneas de SOLPED u OC.","Permitir que el marcador Activo Fijo de un producto se pueda editar mientras la SOLPED u OC esté en estado borrador o en revisión. Una vez confirmada la Recepción, el marcador queda bloqueado. Validar que los productos marcados como Activo Fijo cumplan los criterios contables (umbral mínimo, vida útil, etc.)."
36,"Integración con módulo de ""Inventario"" o abastecimiento","Si bien el módulo permite marcar los ítems de una Solicitud de Pedido como ""activo fijo"" y estos eventualmente pasarán a Inventario. No hay un prechequeo de disponibilidad interno.",Interno,No,Elementos faltantes,Moderado,A evaluar,Sí,"Anexo N°13 - punto 1.4, ítem 1 de funcionalidades
""Conectado en línea con el módulo de Abastecimiento. Referente al abastecimiento y resguardo de materiales""
",,,,4,8,2,16,4,6,40,2,Total ~40 hh: completar campos y trazabilidad Activos Fijos.,2,Adquisiciones + Inventario.,3,Cambio en modelo de datos compartido.,0,Integración interna.,0,Sin gestión externa.,3,Cambios en modelo Activos Fijos + lógica de marcado.,10,Por evaluar,P2 · UX deseable,"Funcionalidad incompleta. Conectado al lote del módulo Inventario, que aún no es prioridad del piloto.","Completar campos faltantes en el modelo de Activos Fijos (categoría contable, vida útil, valor residual, ubicación, responsable) y conectar el flujo: marcar el producto al solicitar/ordenar, generar el Alta del Bien al recepcionar, registrar en Inventario, generar la depreciación inicial.","El módulo de Activos Fijos debe permitir marcar el producto en SOLPED u OC, y al recepcionarse generar automáticamente el Alta del Bien con datos completos: número de inventario municipal, categoría, vida útil, valor de adquisición, ubicación, responsable. Integración con el módulo de Inventario y Contabilidad."
37,Emisión de Solicitudes de Cotización,No existe funcionalidad,Interno,No,Elementos faltantes,Moderado,A evaluar,Sí,"Anexo N°13 - punto 1.4, ítem 4 de funcionalidades
""Que permita validar los productos en bajo stock y genere una solicitud de cotización que pueda emitirse a diferentes proveedores""",,,,8,16,8,40,16,12,100,3,Total ~100 hh: módulo nuevo de gestión de cotizaciones internas.,1,Solo Adquisiciones (módulo nuevo).,2,Módulo nuevo aislado.,1,Eventual integración con Mercado Público (cotizaciones públicas) o por email.,0,Sin gestión externa.,3,"Módulo nuevo con modelos, vistas y flujos propios.",10,Por evaluar,P3 · Postergar a nuevo stack,Funcionalidad faltante completa. La gestión de cotizaciones para Compra Ágil y Trato Directo es parte del flujo legal de Mercado Público; conviene construirla en el nuevo stack con integración real.,"Desarrollo de un módulo nuevo de Solicitudes de Cotización: modelo de cotización, envío a proveedores (email integrado), recepción de respuestas, comparación, selección. Caso aparte: cotizaciones que pasan por Mercado Público (Compra Ágil) usarían el flujo de MP en lugar del módulo interno.","Habilitar el flujo de Solicitudes de Cotización para Trato Directo y compras menores: generar la solicitud con bienes/servicios y enviarla a una lista de proveedores por email; recibir respuestas; comparar ofertas en una vista tabular; seleccionar adjudicación con justificación. Para Compra Ágil, redirigir al flujo de Mercado Público."
38,Solicitudes de Pedido,"Al adjuntar archivo es poco intuitivo, aparece como agregar linea en vez de boton adjuntar archivo.",Interno,No,Visibilidad,Menor,A evaluar,,,,,,1,1,0,2,2,1,7,1,Total ~7 hh: rediseño de widget de adjunto.,1,Solo Adquisiciones.,1,Solo cambio de vista.,0,Sin integración.,0,Sin gestión externa.,2,Cambio de widget XML.,5,Interno,P2 · UX deseable,UX mejorable. No bloquea piloto.,"Cambio de widget XML para el campo de adjuntos: reemplazar el componente actual (""agregar línea"") por un botón claro de tipo Upload con icono y texto descriptivo. Cambio acotado.","El campo de adjuntos debe presentarse como un botón claro ""Adjuntar archivo"" con icono de upload, en lugar del componente actual que aparece como ""agregar línea"" en una tabla. Permitir drag & drop como complemento."
39,Solicitudes de Pedido,En disponibilidad presupuestaria en la pestaña datos adjuntos no aparece el archivo que se adjunto en el paso previo al crear la solicitud de pedido.,Interno,No,Elementos faltantes,Menor,A evaluar,,,,,,1,1,0,3,1,2,8,1,Total ~8 hh: visibilizar adjuntos en disponibilidad presupuestaria.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Heredar adjuntos entre vistas.,6,Interno,P2 · UX deseable,Pérdida de trazabilidad documental entre vistas. Mejora deseable.,"Ajuste de vista para heredar los adjuntos de la SOLPED en las pestañas posteriores del flujo (Disponibilidad presupuestaria, OC, Recepción). Cambio acotado, principalmente en relaciones de vista.","Los documentos adjuntos cargados en la SOLPED inicial deben estar visibles (consultables, no necesariamente editables) en las pestañas posteriores del flujo: Disponibilidad presupuestaria, Resolución de Compra, Recepción Conforme. Sin necesidad de re-adjuntar el mismo archivo."
40,Activos Fijos,"Al contabilizar activo fijo arroja un error de negocio que indica que No se completó la operación por falta de un campo obligatorio ? , si hay un campo que obligatoriamente se debe llenar no deberia dejar aprobar el activo fijo. Deberia indicar el sistema cuales son los campos obligatorios",Interno,No,Retroalimentación,Menor,A evaluar,,,,,,1,1,0,2,1,1,6,1,Total ~6 hh: mejorar mensaje de error.,1,Solo Adquisiciones.,1,Solo mensaje.,0,Sin integración.,0,Sin gestión externa.,2,Ajuste de mensaje + identificar campo.,5,Interno,P2 · UX deseable,UX. Mejora retroalimentación al usuario.,Mejorar el mensaje de error cuando faltan campos obligatorios: identificar qué campo específico está vacío y dónde se encuentra. Cambio acotado de mensaje y posiblemente de validación.,"Cuando el sistema bloquea una operación por falta de un campo obligatorio, el mensaje debe identificar el campo específico (""Falta completar: Cuenta Contable en la pestaña Detalle"") y, si es posible, llevar al usuario directamente al campo o pestaña correspondiente."
41,Solicitudes de Pedido,"Pestañas redundantes, Existe Descripcion en pestaña Detalle y en pestaña Descripcion, Se podria agregar las pestañas extras como campos dentro de la pestaña Detalle de bienes, evitando ingresar informacion en otro lugar.",Interno,No,Visibilidad,Menor,A evaluar,,,,,,1,2,0,3,2,1,9,1,Total ~9 hh: consolidar pestañas redundantes.,1,Solo Adquisiciones.,1,Solo cambio de vista.,0,Sin integración.,0,Sin gestión externa.,2,Reorganización de vista XML.,5,Interno,P2 · UX deseable,Redundancia UX. Mejora deseable.,Consolidación de pestañas redundantes (Descripción presente en pestaña Detalle y en pestaña Descripción). Eliminar la pestaña duplicada o mover la información a una única ubicación. Cambio de vista XML.,"Eliminar la redundancia entre las pestañas Detalle y Descripción: si Descripción es solo un campo, integrarlo como sección dentro de Detalle. Si es un campo extenso de texto libre, mantenerlo separado pero asegurarse de que no se duplique con otras pestañas."
42,Solicitud de pedido - Aprobado,el sistema le permite guardar y avanzar sin centro de costo sin problemas. Esto destruye la trazabilidad por departamento o programa,Interno,No,Flujo,Moderado,A evaluar,,,,,,1,1,0,3,0,2,7,1,Total ~7 hh: obligatoriedad de Centro de Costo.,1,Solo Adquisiciones.,2,Lógica acotada.,0,Sin integración.,0,Sin gestión externa.,2,Validación de obligatoriedad.,6,Interno,P0 · Crítico para piloto,"Sin Centro de Costo, la trazabilidad por departamento/programa se pierde. Falla básica de control presupuestario.",Marcar el Centro de Costo como obligatorio en el modelo de SOLPED. Implementado como atributo `required=True` en el campo o validación @api.constrains. Acotado.,"El Centro de Costo debe ser un campo obligatorio en la SOLPED. Sin él, el sistema no permite guardar ni avanzar al estado siguiente. Esto preserva la trazabilidad por departamento y programa, requisito para el control presupuestario."
43,Solicitudes de Pedido,"Poco control en tipos de archivos adjuntos: el usuario puede subir un archivo con extensión .mp4 (un video) en la pestaña de documentos adjuntos de una cotización/presupuesto. Deberían existir restricciones para aceptar solo formatos estándar (PDF, Excel, Word).",Interno,No,Visibilidad,Menor,A evaluar,,,,,,1,1,0,2,0,1,5,1,Total ~5 hh: validación de tipo MIME.,1,Solo Adquisiciones.,1,Validación simple.,0,Sin integración.,0,Sin gestión externa.,2,Validación de MIME type.,5,Interno,P2 · UX deseable,Calidad de datos. Mejora menor.,"Validación de tipo MIME en el widget de adjuntos: restringir a tipos relevantes (PDF, DOC/DOCX, XLS/XLSX, JPG/PNG). Cambio acotado en vista o validación de modelo.","Restringir los tipos de archivo permitidos en los campos de adjuntos a formatos relevantes para el proceso (PDF, Word, Excel, imágenes). Bloquear la subida de archivos de video, audio o ejecutables, que no son evidencia válida de una compra."
44,Solicitudes de Pedido,"El sistema permite asignar el pedido de laptops en cuentas correspondientes a RRHH como ""Asignacion de Antiguedad"", Sistema deberia alertar sobre mala asignacion de recursos.",Interno,No,Flujo,Moderado,A evaluar,,,,,,2,4,2,8,2,4,22,2,Total ~22 hh: validación cruzada producto-cuenta.,2,Adquisiciones + Contabilidad.,3,Cambio en lógica entre módulos.,0,Integración interna.,0,Sin gestión externa.,3,Validación cruzada producto/categoría vs cuenta contable.,10,Por evaluar,P1 · Control interno crítico,Asignar gastos a cuentas incorrectas falsea el reporte presupuestario. Requiere definir mapeo categoría-cuenta primero (decisión de DM).,Validación cruzada entre la categoría del producto y la cuenta presupuestaria seleccionada. Requiere primero definir un mapeo categoría-cuenta (decisión funcional con DM) y luego implementarlo como @api.constrains o regla de validación.,"Cuando el usuario asigna una cuenta presupuestaria a una línea de SOLPED, validar la coherencia con la categoría del producto. Por ejemplo, no permitir asignar la compra de equipos informáticos a una cuenta de remuneraciones. Si la asignación es ambigua o requiere excepción, exigir justificación formal."
45,Resolucion de Compra,"El sistema se contradice flagrantemente: en el banner rojo afirma textualmente que ""No se podrá confirmar esta obligación"", pero el motor de automatización ignora su propia advertencia, rompe la regla de negocio y fuerza el cambio de estado a ""Confirmado"", en pocas palabras el sistema permite confirmar la resolucion de compra aun no existiendo saldo en la cuenta.",Interno,No,Flujo,Crítico,A evaluar,,,,,,2,2,0,4,1,2,11,1,Total ~11 hh: corregir motor de estados para que respete el banner de bloqueo.,1,Solo Adquisiciones.,3,Motor de estados.,0,Sin integración.,0,Sin gestión externa.,2,Lógica de validación + estado.,7,Interno,P0 · Crítico para piloto,Contradicción flagrante entre mensaje al usuario y comportamiento del motor. Bug crítico de integridad.,"Corregir la contradicción entre el banner de bloqueo (que indica ""No se podrá confirmar esta obligación"") y el motor de estados (que sí permite confirmar). Probablemente bug en una regla condicional o en el orden de evaluación de validaciones.","Cuando el sistema muestra un banner de bloqueo, el motor de estados debe respetarlo y efectivamente impedir la transición. El comportamiento debe ser coherente: si la operación está bloqueada según las reglas, no debe permitirse confirmarla, sin importar la interfaz."
46,Resolucion de compra,"Para aprobar la resolucion de compra se debe ingresar manualmente el numero de la orden de compra, lo que puede generar errores de data entry.",Interno,No,Retroalimentación,Menor,A evaluar,,,,,,1,1,0,3,0,1,6,1,Total ~6 hh: secuencia automática (mismo lote que #22).,1,Solo Adquisiciones.,1,Configuración de secuencia.,0,Sin integración.,0,Sin gestión externa.,1,Configuración Odoo.,4,Interno,P2 · UX deseable,Duplica el problema del ítem 22. Lote conjunto.,Mismo desarrollo que el ítem #22: configurar secuencia automática Odoo para el N° de Orden de Compra. Lote conjunto.,Generación automática del N° de Orden de Compra mediante secuencia correlativa (mismo desarrollo que ítem #22). Eliminar el ingreso manual y minimizar errores de data entry.
