N°,Funcionalidad / Proceso,Detalle,Fuente interno/DM,Invalidante Si/No,Cat. Error,Severidad,Requiere desarrollo,Respaldo en IC,Observación IC (Intención de Compra),Evidencia (imagen),Log de error,Fecha revisión,hh PO,hh Analista,hh Arquitecto,hh Desarrollador,hh UX/UI,hh QA,hh Total,Tiempo de desarollo,Justificación,Módulos afectados,Justificación,Riesgo de regresión,Justificación,Complejidad técnica de integración,Justificación,Complejidad de gestión externa,Justificación,Complejidad técnica del desarrollo,Justificación,Puntaje total,Asignación propuesta,Prioridad piloto Odoo,Justificación priorización,Tipo de desarollo,Mejora propuesta
47,Listado de Solicitudes de Pedido,El listado de solicitudes no viene pre filtrado según el usuario autenticado,Interno,No,Navegación,Moderado,Sí,N/A,,,,,2,2,0,8,2,4,18,2,Total ~18 hh: rango 16-40 hh. Record rules + ajuste de vista.,1,Solo Adquisiciones.,3,Cambia sistema de permisos; puede afectar visibilidad de otros perfiles.,0,Sin integración.,0,Sin gestión externa.,3,Desarrollo Python estándar (record rules + reglas de seguridad).,9,Interno,P0 · Crítico para piloto,"Sin filtrado, cualquier usuario ve SOLPED de cualquier departamento. Falla de control interno y aislamiento de datos entre unidades que expone al municipio si Contraloría audita. Bloquea uso responsable del piloto.",Se debe revisar si sistema actual de roles permite. Lo más probable es que requiera modificación de permisos a nivel de código. ,"El listado debe filtrar de 3 maneras:
Requirientes:
Rol usuario: Solo ve sus propias SOLPED
Rol Admin: Ve todas las SOLPED de su Departamento

DAF:
Cualquier usuario del Departamento puede ver todas las SOLPED"
48,Configuraciones iniciales,"Es necesario incorporar el catálogo de compras de ChileCompra/Mercado Público para estandarizar al inicio de implementación. Se deben cargar Giros, Rubros y Familias de Productos. Para los Productos, campos mínimos: Código, Familia, Descripción, Unidad de Medida, Cuenta Contable, Stock o Específico, Impuestos Adicionales.",DM,Sí,Elementos faltantes,Crítico,Sí,,,,,,0,0,0,0,0,0,0,0,Sin horas propias: trabajo imputado al ítem #1.,0,Ver ítem #1.,0,Ver ítem #1.,0,Ver ítem #1.,0,Ver ítem #1.,0,Ver ítem #1.,0,Duplicado,Duplicado,DM confirma de forma independiente el hallazgo del ítem #1 interno. Refuerza criticidad. Las horas se contabilizan solo en el ítem #1 para evitar duplicación.,Duplicado conceptual con ítem #1 interno. Mismo desarrollo: modelo jerárquico de productos.,Ver ítem #1 interno. Se consolida en un solo lote de desarrollo.
49,Configuraciones iniciales,Es necesario incorporar el catálogo de cuentas presupuestarias para la imputación de la compra de bienes y/o servicios.,DM,Sí,Elementos faltantes,Crítico,Sí,,,,,,4,8,4,16,4,4,40,2,Total ~40 hh: rango 16-40 hh. Modelo + mantenedor + carga inicial.,2,Adquisiciones + Presupuestos (maestro compartido).,3,Nuevo modelo de datos compartido entre módulos.,0,Sin integración externa.,1,Puede requerir coordinación con SUBDERE para catálogo unificado.,3,Desarrollo Python estándar (modelo maestro relacional + mantenedor).,11,Interno,P1 · Control interno crítico,"Sin catálogo presupuestario estructurado, la imputación de gasto no tiene fuente única de verdad. Es prerrequisito para los ítems 8, 11, 27 (control de saldo). Prioridad alta para piloto.",Modelo de cuentas presupuestarias municipales + carga inicial + mantenedor. Conecta con la propuesta de Clasificación Presupuestaria del análisis SOLPED.,"Catálogo presupuestario estructurado (Cuenta/Área/Programa/Subprograma/Centro de Costos) que sirva como base maestra para la imputación en SOLPED, OC y Devengado. Mantenedor con vigencia anual."
50,Configuraciones iniciales,"Se debe incorporar las distintas unidades monetarias (peso chileno, UF, dólar americano, UTM y euro).",DM,Sí,Elementos faltantes,Crítico,Sí,,,,,,1,1,0,4,0,2,8,1,Total ~8 hh: configuración + servicio cron de tipo de cambio.,1,Configuración transversal pero acotada a configurar.,1,Configuración con servicio Odoo nativo.,1,API pública de Banco Central / mindicador.cl.,0,Sin gestión externa formal.,1,Configuración + servicio cron simple.,5,Interno,P2 · UX deseable,"Aunque DM lo marca como crítico, en municipios el 95% de operaciones son en CLP. UF/UTM son necesarias para licitaciones grandes, USD/EUR son casos puntuales. No bloquea el piloto.","Configuración de res.currency en Odoo (UF, UTM, USD, EUR) + servicio de fetch automático de tipo de cambio diario.","Configurar las monedas en el módulo Odoo de monedas con fetch automático desde Banco Central (UF, UTM, USD, EUR). Habilitar selector de moneda en SOLPED, OC y otros documentos donde aplique."
51,Solicitud de Pedido > Nuevo,"La modalidad de compra se debe definir al inicio de la Solicitud de Pedido, vinculante a la pestaña Modalidad de compra. La selección debería precargar la modalidad con sus campos específicos, acorde al Reglamento de la Ley 19.886.",DM,No,Flujo,Moderado,Sí,,,,,,4,8,2,16,4,6,40,2,Total ~40 hh: cambio de flujo en formulario + lógica condicional.,1,Solo Adquisiciones.,3,Cambia flujo principal del formulario SOLPED.,0,Sin integración.,0,"Sin gestión externa, pero requiere validación con DM.",3,Desarrollo Python estándar con campos dinámicos y reglas condicionales.,9,Interno,P1 · Control interno crítico,"Cambio de flujo importante. Sin esto, la SOLPED se desliga de la modalidad y las validaciones legales por tipo de compra (art. 7 Ley 19.886) se pierden. Lote conjunto con ítems #12 y #13.",Reestructurar flujo: agregar selector de modalidad obligatorio al inicio del formulario SOLPED. Cargar dinámicamente campos específicos según modalidad seleccionada. Conecta con ítem #12 (Criterios y requisitos varían por Tipo de Compra).,"Campo obligatorio 'Modalidad de Compra' al inicio de SOLPED (Compra Ágil / Convenio Marco / Licitación / Trato Directo). Esta selección precarga validaciones, campos obligatorios y umbrales acordes al Reglamento."
52,Solicitud de Pedido > Nuevo,Se debe incorporar firma del encargado de la unidad requirente.,DM,Sí,Elementos faltantes,Crítico,Sí,,,,,,0,0,0,0,0,0,0,0,Sin horas propias: trabajo imputado al ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Duplicado,Duplicado,DM confirma de forma independiente la necesidad de firma en SOLPED. Es uno de los puntos del flujo del ítem #7 (FirmaGob). Las horas se contabilizan solo allí.,Duplicado conceptual del ítem #7 interno (FirmaGob general). Aplicado específicamente al cierre de SOLPED por Jefe de Unidad.,Ver ítem #7 interno. La firma del encargado de unidad requirente es uno de los puntos del flujo de firma electrónica que se desarrolla en el lote FirmaGob.
53,Validaciones,"Se deben incorporar validaciones, como por ejemplo la 'cantidad'. Permite grabar con cantidad en cero.",DM,Sí,Elementos faltantes,Crítico,Sí,,,,,,1,1,0,3,0,2,7,1,Total ~7 hh: validación simple en ORM.,1,Solo Adquisiciones (aplicable a varios modelos del módulo).,2,Lógica acotada con potencial de regresión menor.,0,Sin integración.,0,Sin gestión externa.,2,Validación @api.constrains simple.,6,Interno,P0 · Crítico para piloto,"Validación básica de integridad de datos. Permitir cantidad 0 genera documentos sin sentido económico y problemas en módulos posteriores (cálculo de impuestos, recepción, devengado). Bloqueante para piloto.","Validación bloqueante: cantidad debe ser > 0 en líneas de SOLPED, OC y otros documentos transaccionales.","Validar en el ORM y en la vista que cantidad > 0 antes de permitir guardar la línea. Aplicar a SOLPED, OC, Recepción y todo documento que tenga ítems con cantidad."
54,Validaciones,La disponibilidad presupuestaria debe ser solicitada y validada antes de publicar en Mercado Público la solicitud de compra. No debe permitir avanzar en la compra si no está aprobada la disponibilidad de presupuesto.,DM,Sí,Flujo,Crítico,Sí,,,,,,2,2,0,8,2,2,16,2,Total ~16 hh: validación de estado bloqueante específica.,2,Adquisiciones + Presupuestos (consulta CDP).,3,Cambio en motor de estados del flujo principal.,0,Integración interna.,0,Sin gestión externa.,2,Lógica de validación al cambio de estado.,9,Interno,P1 · Control interno crítico,Control normativo básico: no se puede publicar un gasto sin tener financiamiento aprobado (art. 5 Ley 19.886). Conecta y refuerza el ítem #8. Lote conjunto.,Validación bloqueante de estado: la transición a 'Publicada en MP' requiere validación previa de disponibilidad presupuestaria aprobada por DAF. Refuerza ítem #8 con un punto específico del flujo.,"Antes de permitir cambiar el estado de la SOLPED a 'Publicada en Mercado Público', validar que existe CDP aprobado con saldo suficiente. Bloquear publicación con mensaje claro si no se cumple."
55,Flujo (revisión metodológica),Se debe reevaluar y profundizar el flujo inicial para el ingreso de la Solicitud de Compra. El flujo presentado en la página 20 del Anexo N°12 con los diagramas de proceso no especifica lo que se hace en la mayoría de los municipios y lo que establece la Ley.,DM,Sí,N/A,Crítico,A evaluar,,,,,,4,16,0,0,0,0,20,0,"Total ~20 hh de análisis funcional, no desarrollo.",1,Adquisiciones (proceso SOLPED).,0,Sin desarrollo.,0,Sin integración.,0,Sin gestión externa.,0,No es desarrollo.,1,Análisis transversal,P0 · Crítico para piloto,"Es prerrequisito metodológico de varios ítems (4, 12, 18). El análisis SOLPED ya elaborado debe consolidarse con esta observación y validarse formalmente con DM antes de comenzar desarrollo.",No es desarrollo: es trabajo de levantamiento y análisis BPMN para mejorar la especificación funcional. Conecta con el análisis SOLPED ya elaborado.,Profundizar el levantamiento del flujo SOLPED con participación de municipios y referencia explícita al Reglamento de Ley 19.886. El análisis SOLPED actual aborda parcialmente este punto pero requiere validación con DM y municipios piloto.
56,Integración Mercado Público,"Se debe incorporar integración con Mercado Público, de manera que cuando se genere la OC en el portal sea cargada directo a SGM, y no tenga que digitar el funcionario municipal, induciendo a errores. Además el SGM debe incorporar OC menores a 3 UTM.",DM,Sí,Retroalimentación,Moderado,Sí,,,,,,8,16,16,60,8,12,120,3,Total ~120 hh: integración API + lógica de sincronización.,2,Adquisiciones + módulo de integraciones.,3,Integración externa con flujo crítico.,1,API pública de ChileCompra/Mercado Público.,2,"Requiere acuerdo formal con ChileCompra (token API, términos de uso).",3,Desarrollo Python estándar + servicio de sincronización (cron o webhook).,14,Licitación,P3 · Postergar a nuevo stack,"Es parte del lote grande de integración con Mercado Público (junto con ítems #1, #17, #20). La integración real con MP conviene resolverla en el nuevo stack con arquitectura limpia.",Integración bidireccional con MP: webhook o polling para detectar OC generadas en portal MP y cargarlas automáticamente en SGM. Modelado de OC menores a 3 UTM (que no pasan por MP) como caso aparte.,"Servicio de integración con API de Mercado Público que sincronice OC automáticamente (webhook si está disponible, polling como fallback). Para compras menores a 3 UTM (que no pasan por MP), formulario directo en SGM con marca legal correspondiente."
57,Impresión de documentos,El sistema genera documentos sin firma electrónica (ni simple ni avanzada). Permite imprimir incluso sin aprobaciones.,DM,Sí,Visibilidad,Crítico,Sí,,,,,,0,0,0,0,0,0,0,0,Sin horas propias: trabajo imputado al ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Ver ítem #7.,0,Duplicado,Duplicado,DM confirma de forma independiente el problema del ítem #7 (firmas electrónicas). Refuerza criticidad. Las horas se contabilizan solo en el ítem #7.,Duplicado conceptual del ítem #7 interno (FirmaGob). Mismo problema: ausencia de firma electrónica en documentos formales del proceso.,Ver ítem #7 interno. Se consolida en el lote de FirmaGob.
58,Roles y permisos,Se debe configurar los distintos roles y permisos de los funcionarios involucrados en el proceso.,DM,Sí,Elementos faltantes,Crítico,Sí,,,,,,8,16,0,0,0,0,24,1,Total ~24 hh de análisis y especificación; la implementación se imputa a los ítems específicos.,4,Transversal a todos los módulos de SGM.,1,"Es definición, no implementación.",0,Sin integración.,0,Sin gestión externa.,1,Trabajo de PO y Analista funcional.,7,Análisis transversal,P0 · Crítico para piloto,"Sin matriz de roles definida y validada, ningún módulo de SGM puede sostenerse. Es prerrequisito de los ítems #5, #9, #10, #15, #47 internos. Documento transversal del proyecto.","Es trabajo principalmente de análisis: definir la matriz transversal de roles y permisos por proceso. La implementación posterior se reparte entre los ítems específicos (5, 9, 10, 47, etc.).","Construir y formalizar matriz transversal de roles y permisos (Funcionario, Jefe Unidad, DAF, Administrador, etc.) y mapearla a record rules y grupos Odoo. Documento maestro que sirve para todos los módulos."
59,Integración con Inventario,"El módulo de Adquisiciones al generar la Recepción Conforme de bienes debe integrarse con el módulo de Inventario, a fin de que se realice el ingreso a la Bodega de la Municipalidad y el Alta del Bien recepcionado.",DM,No,Retroalimentación,Moderado,Sí,,,,,,4,4,2,20,4,6,40,2,Total ~40 hh: integración entre módulos.,2,Adquisiciones + Inventario.,3,Cambio en flujo entre módulos.,0,Integración interna.,0,Sin gestión externa.,3,Desarrollo Python estándar + manejo de errores entre módulos.,10,Por evaluar,P2 · UX deseable,"Conectado al lote del módulo Inventario, que aún no es prioridad del piloto. Mientras tanto, el registro manual es viable. Lote con ítems #35, #36.","Integración entre módulos: al confirmar Recepción Conforme, generar automáticamente movimiento de ingreso en Inventario con los datos del producto y cantidad.","Trigger en Recepción Conforme que crea automáticamente movimiento de ingreso en Inventario. Para activos fijos, además crear Alta del Bien. Manejo de error si Inventario no responde."
60,Integración con Inventario,Cuando se seleccione un producto se debe desplegar un popup que muestre las existencias indicadas en el módulo de Inventario.,DM,No,Retroalimentación,Menor,Sí,,,,,,1,2,0,6,2,1,12,1,Total ~12 hh: widget de consulta.,2,Adquisiciones + Inventario.,2,Lógica acotada.,0,Integración interna.,0,Sin gestión externa.,2,Widget + endpoint de consulta.,7,Interno,P2 · UX deseable,UX deseable que evita compras innecesarias. Depende del módulo Inventario. Lote con #12 DM.,Widget que al seleccionar producto en SOLPED hace consulta a Inventario y muestra stock disponible y comprometido.,"Al seleccionar producto en línea de SOLPED, mostrar popup o badge con stock disponible y comprometido. Si el ítem no es de stock (servicio), no mostrar."
61,Integración FirmaGob (l10n_cl_gob_firmadigital),"El parámetro ""entity"" del payload de firma está hardcodeado como ""Subsecretaría General de la Presidencia"" (dms_file.py:126). Toda firma de cualquier municipio se emite declarando esa entidad, no la municipalidad firmante.",Interno,Sí,Flujo,Crítico,Sí,Anexo N°13 - punto 1.4 letra a,Las solicitudes deben ser aprobadas electrónicamente por las unidades correspondientes. Firmar declarando una entidad incorrecta vicia la validez del acto.,,,04/06,2,2,0,4,0,2,10,1,"Total ~10 hh: parametrizar entity desde compañía/municipio. Cambio acotado, sin desarrollo arquitectónico.",1,Solo módulo l10n_cl_gob_firmadigital (campo de payload).,2,Cambio en construcción del payload de firma; bajo riesgo si se parametriza desde res.company.,1,Mismo endpoint FirmaGob ya en uso; solo cambia un campo del payload.,0,Sin gestión externa.,1,Reemplazar literal por campo configurable (res.company o res.users).,6,Interno,P0 · Crítico para piloto,"Hallazgo de auditoría de código FirmaGob, complementa ítem 7. Trivial de corregir pero invalidante jurídicamente: cada municipio firmaría como SEGPRES. Debe resolverse antes de cualquier firma en producción.","Reemplazar el literal ""Subsecretaría General de la Presidencia"" (dms_file.py:126) por un campo configurable por municipio (res.company.firmagob_entity o equivalente). Validar que el valor coincida con la entidad registrada ante FirmaGob para cada municipalidad.","El nombre de entidad enviado a FirmaGob debe corresponder a la municipalidad firmante, configurado por compañía y no hardcodeado. Validación que impida firmar si la entidad no está configurada para el municipio activo."
62,Integración FirmaGob (l10n_cl_gob_firmadigital),"No existe UI, wizard ni coordenadas (llx, lly, urx, ury, página) para posicionar la firma en el documento. El payload solo envía content-type, content, description y checksum (dms_file.py:145-154). La plataforma permite subir cualquier PDF y firmar en modo desatendido, delegando 100% a FirmaGob dónde y cómo estampar la firma.",Interno,No,Elementos faltantes,Moderado,Sí,,,,,04/06,8,16,8,40,16,8,96,3,Total ~96 hh: rango 40-120 hh. Wizard de posicionamiento + preview PDF interactivo + envío de coordenadas al payload.,1,Solo módulo l10n_cl_gob_firmadigital.,2,Cambio acotado al payload; el riesgo está en el componente UI de selección sobre el PDF.,1,FirmaGob ya acepta parámetros de posicionamiento; solo hay que enviarlos.,0,Sin gestión externa.,3,Componente OWL para seleccionar página/coordenadas sobre preview PDF; mapeo a parámetros de FirmaGob.,10,Por evaluar,P2 · UX deseable,"Hallazgo de auditoría de código FirmaGob, complementa ítem 7. Para documentos administrativos reales (decretos, resoluciones con firma en lugar específico, múltiples firmantes en posiciones distintas) la ausencia de posicionamiento es limitación funcional, no cosmética. Si se opta por firma simple en posición fija puede bajar a Interno; el posicionamiento configurable completo conviene evaluarlo para el nuevo stack.","Agregar componente de posicionamiento: preview del PDF donde el usuario elige página y coordenadas de la firma, mapeadas a los parámetros llx/lly/urx/ury/page de FirmaGob. Alternativa mínima: posición fija configurable por tipo de documento. Soporte para múltiples firmantes en posiciones distintas.","El usuario debe poder definir dónde se estampa visualmente la firma (página y posición) antes de enviar a FirmaGob, con vista previa del documento. Para flujos con múltiples firmantes, cada firma debe poder ubicarse en su posición correspondiente."
63,Integración FirmaGob (l10n_cl_gob_firmadigital),"Solo está implementada la firma desatendida. El segundo factor del firmante (OTP / firma atendida) existe únicamente como comentario en el código (dms_file.py:159), no implementado. No hay flujo para que el firmante valide la operación con su propio factor.",Interno,No,Elementos faltantes,Crítico,Sí,Anexo N°13 - punto 1.4 letra a,Las solicitudes deben ser aprobadas electrónicamente por las unidades que las aprueban. La firma desatendida sin segundo factor del firmante puede no satisfacer el estándar de firma avanzada (Ley 19.799) para ciertos actos.,,,04/06,4,8,4,24,8,8,56,3,Total ~56 hh: rango 40-120 hh. Flujo de firma atendida con manejo de OTP y estados intermedios de espera.,1,Solo módulo l10n_cl_gob_firmadigital.,3,Introduce estados intermedios (espera de OTP) en el flujo de firma; cambio en el motor de estados de firma.,2,"Requiere manejo del segundo factor según especificación FirmaGob (header OTP, tiempos de expiración).",1,Depende de habilitación de firma atendida ante FirmaGob para la entidad.,3,Flujo Python + UI para captura/gatillo de OTP y estados de espera.,13,Licitación,P1 · Control interno crítico,"Hallazgo de auditoría de código FirmaGob, complementa ítem 7. Determina qué tipo de actos pueden firmarse válidamente. La firma desatendida puede bastar para algunos documentos pero no para otros; definir con DAF/jurídico qué actos exigen firma atendida. Conecta con la integración FirmaGob completa que el ítem 7 propone para el nuevo stack.","Implementar el flujo de firma atendida: gatillar el segundo factor del firmante, manejar el header OTP (hoy solo comentado en dms_file.py:159), estados intermedios de espera y expiración. Definir por tipo de documento si requiere firma atendida o si basta la desatendida.","Para los actos que lo requieran, el firmante debe validar la operación con su propio segundo factor (OTP), no solo con las credenciales de entidad. El sistema debe distinguir, por tipo de documento, cuándo exige firma atendida y cuándo admite desatendida."
64,Integración FirmaGob (l10n_cl_gob_firmadigital) · Seguridad (transversal),"El flujo de firma registra en logs el token JWT y el payload parcial (dms_file.py:162-172), exponiendo secretos en agregadores de logs. Riesgo de filtración de credenciales en producción.",Interno,No,Flujo,Crítico,Sí,Decreto N°7/2023 (Seguridad de la Información),Norma técnica de seguridad de la información aplicable a SGM: no deben registrarse secretos ni credenciales en los logs.,,dms_file.py:162-172 (log.info expone token JWT),04/06,1,2,2,4,0,2,11,1,"Total ~11 hh: sanitizar logging. Cambio acotado, alto valor de seguridad.",1,Módulo l10n_cl_gob_firmadigital; patrón replicable a otros módulos que loguean.,1,Solo se reduce/sanitiza el logging; bajo riesgo de regresión.,0,Sin integración.,0,Sin gestión externa.,1,Eliminar/enmascarar token y secretos en sentencias de log; revisar nivel de log.,4,Interno,P1 · Control interno crítico,"Hallazgo de auditoría de código FirmaGob (transversal de seguridad, no exclusivo de Adquisiciones). Trivial de corregir. Relevante para cumplimiento del Decreto N°7/2023, que estaba ausente del EVALTIC. Distribuir a ficha de seguridad si corresponde.","Sanitizar el logging del flujo de firma: no registrar el token JWT ni secretos en claro (dms_file.py:162-172). Enmascarar credenciales, reducir el nivel de detalle del log de payload y revisar que el patrón no se repita en otros módulos.","Ningún secreto (token JWT, secret key, OTP) debe quedar registrado en claro en los logs de la plataforma. Logging de operaciones de firma limitado a metadatos no sensibles (id de documento, estado, timestamp)."
65,Integración FirmaGob (l10n_cl_gob_firmadigital) · Seguridad (transversal),"El endpoint de descarga GET /tupa/dms/file/<id>/download está configurado con auth=""public"" y el chequeo de access_token está comentado (main.py:22-28). Cualquiera que conozca o adivine el id del documento puede descargarlo sin autenticación.",Interno,Sí,Flujo,Crítico,Sí,Decreto N°7/2023 (Seguridad de la Información); Ley 21.719,Acceso no autenticado a documentos administrativos vulnera el control de acceso exigido por la norma de seguridad y la protección de datos personales contenidos en los documentos.,,"controllers/main.py:22-28 (auth=public, access_token comentado)",04/06,1,2,2,4,0,3,12,1,"Total ~12 hh: restaurar control de acceso del endpoint. Cambio acotado, crítico de seguridad.",1,Módulo l10n_cl_gob_firmadigital (controlador de descarga).,2,Cambio en autenticación del endpoint; validar que el flujo TUPA siga funcionando con token.,1,Afecta la ruta consumida por el flujo TUPA de firma.,0,Sin gestión externa.,2,"Reactivar verificación de access_token y/o cambiar auth a ""user""; ajustar el llamador.",7,Interno,P0 · Crítico para piloto,Hallazgo de auditoría de código FirmaGob (transversal de seguridad). Invalidante desde el punto de vista de seguridad: documentos administrativos descargables sin autenticación. Debe cerrarse antes del piloto. Distribuir a ficha de seguridad si corresponde.,"Restaurar el control de acceso del endpoint de descarga (main.py:22-28): reactivar la verificación de access_token comentada o cambiar auth a ""user"" y ajustar el flujo TUPA que lo consume para que provea el token válido.",La descarga de documentos debe requerir autenticación y/o un access_token válido y de un solo uso. No debe ser posible descargar un documento conociendo únicamente su id. Trazabilidad de quién descarga cada documento.
66,Modalidad de Compra,"Subproceso ""2. Modalidad de Compra"" está implementado en Odoo como un único modelo/vista genérico aplicado indistintamente a las 4 modalidades de compra (Compra Ágil, Convenio Marco, Licitación, Trato Directo), cuando en la práctica cada modalidad requiere campos, validadores y loops de aprobación propios: Licitación exige Comisión Evaluadora (conformación, decreto, publicación, sesión con registro Lobby, acta) y publicación en Mercado Público; Trato Directo exige Decreto Alcaldicio fundado (Jurídica + Alcaldía) en vez de evaluación de ofertas; Compra Ágil y Convenio Marco comparten un esqueleto simple sin ninguno de los dos. Hoy el sistema no distingue estos caminos: se puede avanzar cualquier modalidad sin las validaciones que le corresponden.",Interno,Sí,Elementos faltantes,Crítico,Sí,,,,,01/07,16,24,24,64,16,24,168,3,"Total ~168 hh: rango 40-120 hh por modalidad divergente, pero al sumar el análisis transversal (levantamiento de los 4 caminos) más el rediseño de vista condicional, el conjunto escala a 120-320 hh (valor 4 según ancla ítem #1 catálogo). No incluye el parche P0 (ver Mejora propuesta), que se trata como solución transitoria de horas menores aparte.",3,"Adquisiciones (núcleo); impacto en Recepción Conforme y Resolución de Compra, que heredan el mismo problema de generalización.",3,Cambio al modelo central del flujo de compra; alto riesgo de romper las 4 modalidades si se modifica sin separar primero los caminos.,1,"Licitación requiere integración real con Mercado Público para publicación (hoy solo campo de texto libre con ID, sin distinguir bases de resolución de adjudicación).",0,"Sin gestión externa formal más allá de Mercado Público, ya cubierta en catálogo (ítem #1).",4,"Diseño arquitectónico nuevo: requiere modelo condicional o modelos separados por modalidad, con vistas, validadores y flujos de aprobación propios para cada una.",18,Licitación,P0 · Crítico para piloto,"Sobre-simplificar 2 de 4 modalidades de compra en un solo proceso es un riesgo de validación con Contraloría (art. 8 y siguientes del Reglamento Ley 19.886 exige tratamiento diferenciado por modalidad) y de rechazo en la validación con DM/municipios piloto. El rediseño completo excede la capacidad del equipo interno actual y va a licitación. Para el piloto, se define un parche mínimo (ver Mejora propuesta) que no resuelve el problema de fondo pero evita que el piloto avance sin ningún control diferenciado.","Doble tratamiento: (1) Parche transitorio P0 — ver Mejora propuesta; (2) Rediseño completo — licitación, Etapa 1 del roadmap de migración, usando Adquisiciones como módulo template.","Parche P0 transitorio: agregar campo obligatorio de carga de documento con firmas correspondiente a la validación mínima de cada modalidad (ej. constancia de Comisión Evaluadora firmada para Licitación, Decreto Alcaldicio firmado para Trato Directo) como requisito para avanzar de '2. Modalidad de Compra' a '3. Resolución de Compra'. No reemplaza el flujo, solo fuerza evidencia documental antes de continuar. Horas pendientes de estimar tras definir el mecanismo exacto de validación (campo condicional por modalidad + regla de bloqueo). Solución completa (licitación): modelo o vistas separadas por modalidad, con campos, validadores y loops de aprobación propios para cada una; evaluar en el levantamiento si Compra Ágil + Convenio Marco pueden homologarse en una sola vista (comparten esqueleto) mientras Licitación y Trato Directo requieren vistas propias."
67,Resolución de Compra,"Subproceso ""3. Resolución de Compra"" tiene el mismo problema que el ítem #66 pero un paso más adelante en el flujo: está implementado como un único modelo/vista genérico para las 4 modalidades, sin distinguir que Licitación requiere Resolución de Adjudicación (Monto Real) posterior a evaluación de ofertas y publicación en Mercado Público, Trato Directo requiere Decreto Alcaldicio fundado, y Compra Ágil/Convenio Marco no requieren resolución formal adicional más allá de la Orden de Compra. Es un hallazgo distinto del ítem #66 porque el subproceso en sí es otro (ocurre después de Modalidad de Compra) y su solución completa probablemente no es homologable con la del ítem #66, aunque comparte la misma causa raíz de diseño.",Interno,Sí,Elementos faltantes,Crítico,Sí,,,,,01/07,12,20,20,56,12,20,140,3,"Total ~140 hh: rango 40-120 hh por modalidad individual, escalando a valor 3-4 combinado por la necesidad de levantamiento comparativo entre las 4 modalidades antes de definir el modelo. Menor que ítem #66 porque Resolución de Compra tiene menos pasos internos que Modalidad de Compra, pero mantiene la misma complejidad de diseño.",3,"Adquisiciones (núcleo); impacto directo en Recepción Conforme y en el devengo/pago aguas abajo, que hoy asumen una Resolución de Compra uniforme.",3,Cambio al modelo central del flujo; alto riesgo de romper el paso a Recepción Conforme y Registro de Devengado si se modifica sin separar primero los caminos.,1,"Publicación de Resolución en Mercado Público (Licitación) no está integrada: solo campo de texto libre para ID, sin distinguir bases de resolución de adjudicación.",0,Sin gestión externa formal adicional a la ya cubierta en Mercado Público.,4,"Diseño arquitectónico nuevo: modelo condicional o modelos separados por modalidad, con validadores y documentos de resolución propios para cada una (Resolución de Adjudicación vs. Decreto Alcaldicio vs. sin resolución formal).",17,Licitación,P0 · Crítico para piloto,"Misma exposición normativa y de validación con DM que el ítem #66: una Resolución de Compra genérica no refleja el tratamiento diferenciado que exige el Reglamento de la Ley 19.886 según modalidad. Se trata como ítem transversal separado (no sub-ítem de #66) porque el subproceso, su ubicación en el flujo y su solución completa son distintos, aunque comparten causa raíz y quedan en la misma licitación (Etapa 1).","Doble tratamiento: (1) Parche transitorio P0 — ver Mejora propuesta; (2) Rediseño completo — licitación, Etapa 1 del roadmap de migración, mismo levantamiento que ítem #66.","Parche P0 transitorio: mismo mecanismo que ítem #66 — documento con firmas correspondiente (Resolución de Adjudicación firmada, Decreto Alcaldicio firmado, o N/A para Compra Ágil/Convenio Marco) como requisito obligatorio para avanzar de '3. Resolución de Compra' a '4. Recepción Conforme'. Horas pendientes de estimar tras definir el mecanismo exacto. Solución completa (licitación): documentar en el mismo levantamiento del ítem #66 si Resolución de Compra debe modelarse junto con Modalidad de Compra (un solo modelo por modalidad que cubra ambos subprocesos) o si conviene mantenerlos separados; la Guía de BPMN sugiere evaluarlo con el criterio de profundidad interna (A.2, Parte B) antes de decidir."
